topics,subject,object,label
mining frequent itemsets; mining association rules,mining frequent itemsets,mining association rules,1
software; matlab,software,matlab,0
precoding matrix; pre-coding,precoding matrix,pre-coding,1
radar sensors; sensor,radar sensors,sensor,1
control system; robot control systems,control system,robot control systems,0
bayesian networks (bns); adaptive modulation and coding,bayesian networks (bns),adaptive modulation and coding,3
fair exchange; e-commerce systems,fair exchange,e-commerce systems,1
multiagent system; artificial intelligence,multiagent system,artificial intelligence,1
soa; service-oriented architectures,soa,service-oriented architectures,2
multihop transmission; wsn,multihop transmission,wsn,1
wsn; 6lowpan,wsn,6lowpan,0
sub-bands; discrete wavelet transform,sub-bands,discrete wavelet transform,1
soft errors; cad,soft errors,cad,1
multiagent system; multiagent systems,multiagent system,multiagent systems,2
network-on-chips; noc,network-on-chips,noc,2
peer-to-peer technologies; internet,peer-to-peer technologies,internet,1
probabilistic inference; bayesian method,probabilistic inference,bayesian method,1
second order statistics; communication channels,second order statistics,communication channels,1
h.264/avc; radio propagation,h.264/avc,radio propagation,3
pid parameters; pid controller,pid parameters,pid controller,1
fuzzy c-means clustering; fcm clustering,fuzzy c-means clustering,fcm clustering,2
information retrieval; ehr,information retrieval,ehr,3
computer aided design (cad); cad models,computer aided design (cad),cad models,0
uwb antenna; uwb antennas,uwb antenna,uwb antennas,2
architecture types; cyber foraging,architecture types,cyber foraging,0
delayed neural networks; neural networks,delayed neural networks,neural networks,1
genetic conservation; h.264/avc,genetic conservation,h.264/avc,3
brain-computer interfaces (bci); brain-machine interface,brain-computer interfaces (bci),brain-machine interface,0
object oriented programming; online transaction processing,object oriented programming,online transaction processing,3
anfis; back-propagation neural networks,anfis,back-propagation neural networks,1
gnutella; hybrid recommender systems,gnutella,hybrid recommender systems,3
database; heterogeneous database,database,heterogeneous database,0
router; wavelet transforms,router,wavelet transforms,3
antennas; moment method,antennas,moment method,0
human computer interaction; virtual reality,human computer interaction,virtual reality,0
architecture notation; koala,architecture notation,koala,0
femto-second laser; femtosecond laser,femto-second laser,femtosecond laser,2
smart city; smart environments,smart city,smart environments,1
multiobjective optimisation; multi-objective optimizations,multiobjective optimisation,multi-objective optimizations,2
field programmable gate arrays; fpga,field programmable gate arrays,fpga,2
semantic web technologies; owl,semantic web technologies,owl,0
p2p applications; peer-to-peer computing,p2p applications,peer-to-peer computing,0
web graph; web contents,web graph,web contents,1
intelligent network; bayesian network classifiers,intelligent network,bayesian network classifiers,0
dwt coefficients; multi-objective optimization models,dwt coefficients,multi-objective optimization models,3
machine learning; supervised machine learning,machine learning,supervised machine learning,0
software architecture assessment; software architecture evaluation,software architecture assessment,software architecture evaluation,2
radio frequency identification (rfid); semantic web services,radio frequency identification (rfid),semantic web services,3
continuous phase modulation; autonomous agent,continuous phase modulation,autonomous agent,3
genetic programming; service selection,genetic programming,service selection,3
language models; language modelling,language models,language modelling,2
adaptive system; cdma system,adaptive system,cdma system,3
architecture verification and validation; architecture activity,architecture verification and validation,architecture activity,1
image analysis; aco algorithms,image analysis,aco algorithms,3
light transmission; multicast,light transmission,multicast,3
support vector machines (svms); svm,support vector machines (svms),svm,0
hydrophones; multi-objective genetic algorithms,hydrophones,multi-objective genetic algorithms,3
peer-to-peer network; p2p network,peer-to-peer network,p2p network,2
noc architectures; network-on-chip (noc),noc architectures,network-on-chip (noc),1
6lowpan; wsn,6lowpan,wsn,1
space time block coding; space-time block codes,space time block coding,space-time block codes,2
concurrent program; concurrent programs,concurrent program,concurrent programs,2
combinatorial auction; e-commerce systems,combinatorial auction,e-commerce systems,1
crosscutting concern; crosscutting concerns,crosscutting concern,crosscutting concerns,2
